edad,ingreso_mensual,antiguedad_cliente_meses,segmento_cliente,region,canal_adquisicion,limite_credito,saldo_promedio,porcentaje_utilizacion,num_transacciones_mes,pagos_atrasados_12m,reclamos_12m,tipo_producto,tipo_contrato,metodo_pago,default_12m
45,,1,Básico,Centro,Web,36554.88,13130.88,0.36,20,3,0,Tarjeta,Anual,Efectivo,1
38,11122.22,102,Premium,Norte,Sucursal,44606.35,11564.16,0.26,15,0,0,Tarjeta,Mensual,Transferencia,0
47,9335.42,38,Plus,Centro,Referido,24092.66,3835.81,0.16,16,1,1,Tarjeta,Mensual,Débito automático,1
58,14274.8,48,Básico,Sur,App,39951.95,2512.86,0.06,22,0,1,Tarjeta,Mensual,Efectivo,0
37,27400.24,28,Premium,Centro,Referido,108625.12,12242.81,0.11,23,2,1,Tarjeta,Anual,Efectivo,1
37,8411.66,4,Básico,Centro,Web,31036.42,2500.14,0.08,21,0,0,Tarjeta,Mensual,Transferencia,0
58,24355,1,Premium,Norte,Sucursal,93715.33,19002.9,0.2,25,0,0,Tarjeta,Anual,Transferencia,1
49,8358.19,47,Premium,Sur,App,32879.96,14183.23,0.43,17,2,0,Préstamo,Mensual,Transferencia,1
34,8033.89,12,Básico,Centro,Web,34728.32,4484.92,0.13,12,4,0,Préstamo,Anual,Débito automático,1
46,21832.54,7,Básico,Norte,Web,82314.92,27019.4,0.33,21,0,0,Tarjeta,Mensual,Débito automático,1
34,23229.12,19,Premium,Centro,App,70875.17,34553.77,0.49,17,0,0,Préstamo,Mensual,Transferencia,0
34,22266.66,13,Básico,Norte,Sucursal,59363.64,16005.34,0.27,19,1,0,Tarjeta,Mensual,Débito automático,1
42,6066.41,25,Básico,Sur,Sucursal,20408.42,1827.86,0.09,22,1,0,Tarjeta,Anual,Transferencia,1
18,10101.4,15,Básico,Norte,App,39594.45,1833.08,0.05,22,0,0,Tarjeta,Mensual,Efectivo,0
19,21890.17,28,Plus,Centro,Sucursal,67067.18,9232.62,0.14,13,2,0,Tarjeta,Anual,Transferencia,1
33,13696.9,46,Plus,Norte,Web,37531.69,18390.26,0.49,18,2,0,Tarjeta,Mensual,Transferencia,1
27,7014.85,5,Premium,Centro,Sucursal,31549.17,7943.29,0.25,10,0,0,Préstamo,Anual,,1
43,17588.33,9,Premium,Centro,App,58705.42,23685.27,0.4,26,1,0,Préstamo,Anual,Efectivo,1
29,8700.32,13,Premium,Sur,Web,25514.83,11962.22,0.47,19,0,0,Tarjeta,Mensual,Débito automático,1
23,39211.09,78,Básico,Centro,Referido,110932.56,25017.03,0.23,15,2,0,Tarjeta,Anual,Transferencia,1
57,33755.71,10,Plus,Norte,App,142636.94,25371.96,0.18,16,1,0,Línea de crédito,Anual,Débito automático,1
37,,11,Básico,Norte,Sucursal,79456.33,31485.47,0.4,15,4,0,Préstamo,Mensual,Efectivo,1
40,30230.42,25,Básico,Sur,App,112657.93,51636.41,0.46,14,1,1,Préstamo,Mensual,Débito automático,1
22,13889.31,13,Plus,Centro,Referido,49923.34,1949.79,0.04,18,2,0,Préstamo,Anual,Débito automático,1
33,21147.19,72,Básico,Centro,Web,93108.51,17602.82,0.19,20,2,1,Tarjeta,Anual,Débito automático,1
41,32423.29,53,Premium,Sur,App,95860.59,12051.22,0.13,23,2,1,Línea de crédito,Mensual,Transferencia,1
26,15479.92,17,Básico,Norte,Web,51560.33,13078.58,0.25,21,1,0,Préstamo,Anual,Débito automático,1
44,11463.09,24,Plus,Centro,Web,29223.2,2002.19,0.07,14,2,0,Tarjeta,Mensual,Transferencia,1
32,4804.11,1,Básico,Norte,Web,16032.17,3293.53,0.21,15,2,0,Línea de crédito,Anual,Transferencia,1
36,12709.69,28,Básico,Norte,App,41540.77,9533.64,0.23,11,2,0,Tarjeta,Mensual,Transferencia,1
